section,symbol_type,symbol,size_bytes,vma,runtime_region,lma,load_region
.text,FUNC,smpParsePairingReq,238,0x000091B0,?,0x000091B0,?
.text,FUNC,smFreePairingParams,106,0x00008E66,?,0x00008E66,?
.text,FUNC,API_ReadRssiCmd,46,0x0000F49A,?,0x0000F49A,?
.text,FUNC,smResponderSendNextKeyInfo,530,0x00009D1C,?,0x00009D1C,?
.text,FUNC,ll_connect_set_procedure_timeout,56,0x0000B788,?,0x0000B788,?
.text,FUNC,ATT_PrepareWriteRsp,48,0x00003F06,?,0x00003F06,?
.bss,OBJECT,gapRole_OldIRK,16,0x20002504,?,-,-
.text,FUNC,GPIOA_ModeCfg,130,0x00001A3C,?,0x00001A3C,?
.text,FUNC,tmos_msg_enqueue,30,0x0000279A,?,0x0000279A,?
.bss,OBJECT,l2capMtuSize,2,0x20001314,?,-,-
.bss,OBJECT,ble,52,0x20002294,?,-,-
.text,FUNC,GATT_VerifyPrepareWritePermissions,108,0x00006DE2,?,0x00006DE2,?
.bss,OBJECT,gapRole_AdvFilterPolicy,1,0x200013C0,?,-,-
.text,FUNC,__swhatbuf_r,84,0x000142C4,?,0x000142C4,?
.text,FUNC,LL_AdvertiseToStandby,72,0x0000B674,?,0x0000B674,?
.text,FUNC,GetSysClock,92,0x00001ABE,?,0x00001ABE,?
.text,FUNC,linkDB_Init,114,0x00008936,?,0x00008936,?
.text,FUNC,gattServerHandleConnStatusCB,142,0x000063B4,?,0x000063B4,?
.text,OBJECT,funcRxPDUArr,100,0x000149F0,?,0x000149F0,?
.highcode,FUNC,FLASH_ROM_BEG_FF,52,0x20000C22,?,0x00000C26,?
.highcode,FUNC,FLASH_CMD_GET_ROM_INFO,90,0x20000E7E,?,0x00000E82,?
.text,FUNC,GAP_GetAdvertisingRspData,46,0x000057D0,?,0x000057D0,?
.text,FUNC,LL_ConnectShut,186,0x0000C1C2,?,0x0000C1C2,?
.data,OBJECT,gattServiceUUID,2,0x20001220,?,0x0001663C,?
.text,FUNC,ATT_FindInfoRsp,78,0x00003C18,?,0x00003C18,?
.data,OBJECT,__sglue,12,0x2000116C,?,0x00016588,?
.text,FUNC,_write,52,0x00001B22,?,0x00001B22,?
.bss,OBJECT,l2capFixedChannels,48,0x20002380,?,-,-
.bss,OBJECT,gapRole_bdAddr,6,0x200013B0,?,-,-
.text,FUNC,GAPRole_PeripheralStartDevice,82,0x00011D7A,?,0x00011D7A,?
.text,FUNC,l2capHandleConnStatusCB,2,0x00007F32,?,0x00007F32,?
.text,FUNC,tmos_msg_deallocate,82,0x000027B8,?,0x000027B8,?
.highcode,FUNC,tmos_rand,70,0x2000048E,?,0x00000492,?
.text,FUNC,API_LE_SetExtendedAdvertisingEnableCmd,32,0x0000F6B8,?,0x0000F6B8,?
.bss,OBJECT,pfnServerProcessMsgCB,4,0x200012E8,?,-,-
.text,FUNC,GAP_MakeDiscoverable,140,0x000054A0,?,0x000054A0,?
.text,OBJECT,serverReqTbl,96,0x00014910,?,0x00014910,?
.bss,OBJECT,cbTimersHead,4,0x200012A8,?,-,-
.data,OBJECT,periConnParamUUID,2,0x20001200,?,0x0001661C,?
.text,FUNC,tmos_clear_event,64,0x00002A7E,?,0x00002A7E,?
.text,FUNC,ll_connect_supervision_timeout,48,0x0000BECE,?,0x0000BECE,?
.data,OBJECT,gapBond_Valid,1,0x200011A5,?,0x000165C1,?
.text,FUNC,L2CAP_SetBufSize,24,0x00008062,?,0x00008062,?
.text,FUNC,ll_connect_update_effective_Len,50,0x0000B858,?,0x0000B858,?
.text,FUNC,gapProcessRandomAddrComplete,106,0x0000442E,?,0x0000442E,?
.text,FUNC,smpBuildPairingRandom,48,0x00009A86,?,0x00009A86,?
.text,FUNC,__swrite,70,0x000143BA,?,0x000143BA,?
.text,FUNC,GAP_NumActiveConnections,4,0x00004E0C,?,0x00004E0C,?
.text,FUNC,_vfiprintf_r,572,0x00013A60,?,0x00013A60,?
.text,FUNC,GATT_Indication,164,0x00006982,?,0x00006982,?
